customer_number,campaign_period_sales,historical_sales_volume,date_of_first_purchase,number_of_prior_year_transactions,do_not_direct_mail_solicit,do_not_email,do_not_telemarket,repurchase_method,last_transaction_channel,desk,executive_chair,standard_chair,monitor,printer,computer,insurance,toner,office_supplies,number_of_employees,language,num_emp,cp_sales,years_as_customer,hist_sales_bin,hist_years_as_customer_bin,hist_transactions_bin,repurchase_method_AUTO RENEW,repurchase_method_NOTICE,repurchase_method_PAYMENT PLAN,last_transaction_channel_AUTO RENEW,last_transaction_channel_BILLING,last_transaction_channel_BRANCH (PHONE),last_transaction_channel_BRANCH (POS),last_transaction_channel_IT,last_transaction_channel_MAIL,last_transaction_channel_NONE,last_transaction_channel_PHONE,last_transaction_channel_WEB,num_emp_avg_3,num_emp_avg_8,num_emp_avg_25,num_emp_avg_75,num_emp_avg_300,num_emp_avg_500,sale_1319.313_to_155862.72,sale_155862.72_to_303035.2,sale_303035.2_to_517717.2,sale_517717.26_to_929078.857,sale_929078.857_to_34412125.8,Years_0-10,Years_11-20,Years_21-30,Years_30-40,Years_40-50,Years_50+,Transactions_0-5,Transactions_6-10,Transactions_11-15,Transactions_16-20,Transactions_21-25,Transactions_25+,probs,success_pred
86734,238.70476190476197,146803.42857142858,1968-10-01,15,0.0,0.0,0.0,AUTO RENEW,AUTO RENEW,0,0,0,0,0,0,1,0,1,6-10,English,8,1,51,sale_1319.313_to_155862.72,50+,11-15,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.11263627220761141,1
97098,281.68,439984.16,1981-06-15,22,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,1,11-50,English,25,1,38,sale_303035.2_to_517717.2,30-40,21-25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.790193383033414,0
100836,432.8571428571429,970465.7142857143,1962-11-01,19,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,1,6-10,English,8,1,57,sale_929078.857_to_34412125.8,50+,16-20,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.21424525686620832,1
116390,0.0,230193.6,1983-06-01,17,0.0,0.0,0.0,NOTICE,PHONE,0,0,0,0,0,0,0,0,1,1-5,English,3,0,36,sale_155862.72_to_303035.2,30-40,16-20,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.7711559361874573,0
127914,1370.1666666666667,27403.333333333336,1987-07-15,21,0.0,0.0,0.0,NOTICE,BRANCH (PHONE),0,0,0,0,0,0,1,0,0,NONE,NONE,8,1,32,sale_1319.313_to_155862.72,30-40,21-25,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.6040678672020554,0
148529,308.4190476190477,182584.07619047625,1979-05-15,16,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,1,1,6-10,English,8,1,40,sale_155862.72_to_303035.2,30-40,16-20,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.7492089223809824,0
163829,0.0,151252.5,1986-11-15,6,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,0,51-100,English,75,0,33,sale_1319.313_to_155862.72,30-40,6-10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.7761831399528027,0
164322,0.0,1377761.0000000002,1985-09-01,21,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,1,51-100,NONE,75,0,34,sale_929078.857_to_34412125.8,30-40,21-25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.8564170009895344,0
166859,2241.5,609688.0,1978-02-01,32,0.0,1.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,1,0,0,NONE,NONE,8,1,41,sale_517717.26_to_929078.857,40-50,25+,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.08738622370441251,1
170336,223.44000000000003,277512.48000000004,1982-07-01,18,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,1,1-5,English,3,1,37,sale_155862.72_to_303035.2,30-40,16-20,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.7660294089070201,0
182528,0.0,221457.1428571429,1983-12-01,15,0.0,0.0,0.0,NOTICE,WEB,0,0,0,0,0,0,0,0,1,6-10,English,8,0,36,sale_155862.72_to_303035.2,30-40,11-15,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.7793801454811353,0
186013,124.76,199366.48,1980-09-01,17,0.0,1.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,1,1-5,English,3,1,39,sale_155862.72_to_303035.2,30-40,16-20,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.7660294089070201,0
191440,0.0,332935.2693333333,1987-12-01,22,0.0,0.0,0.0,AUTO RENEW,AUTO RENEW,0,0,0,0,0,0,0,1,1,11-50,English,25,0,32,sale_303035.2_to_517717.2,30-40,21-25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.7291079307220054,0
196723,0.0,184006.28571428574,1987-03-01,15,0.0,1.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,1,6-10,English,8,0,32,sale_155862.72_to_303035.2,30-40,11-15,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.7996646175106025,0
204625,0.0,940139.1999999998,1987-03-01,22,0.0,0.0,0.0,NOTICE,NONE,0,1,0,0,0,0,0,0,1,101-500,English,300,0,32,sale_929078.857_to_34412125.8,30-40,21-25,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.8348658914915557,0
212131,110.33333333333336,148950.00000000006,1971-07-01,10,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,1,0,1,1-5,English,3,1,48,sale_1319.313_to_155862.72,40-50,6-10,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.26645951566527604,1
217573,0.0,255984.48000000004,2016-06-14,23,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,1,11-50,English,25,0,3,sale_155862.72_to_303035.2,0-10,21-25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.761078974889045,0
234724,141.71200000000002,637704.0,1975-02-15,30,0.0,1.0,0.0,NOTICE,BRANCH (POS),0,1,0,0,0,0,0,0,1,6-10,English,8,1,44,sale_517717.26_to_929078.857,40-50,25+,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.10699524225742085,1
240009,0.0,792136.7999999998,1990-12-01,21,0.0,0.0,0.0,AUTO RENEW,AUTO RENEW,0,0,0,0,0,0,0,0,1,101-500,English,300,0,29,sale_517717.26_to_929078.857,21-30,21-25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7495491500385703,0
246714,507.31428571428563,192779.42857142855,1973-03-15,19,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,1,6-10,English,8,1,46,sale_155862.72_to_303035.2,40-50,16-20,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.1810178024043072,1
251966,0.0,363121.00000000006,1985-11-15,15,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,1,1-5,English,3,0,34,sale_303035.2_to_517717.2,30-40,11-15,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.8190085149310978,0
255302,0.0,501692.4,2013-08-15,22,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,1,1-5,English,3,0,6,sale_303035.2_to_517717.2,0-10,21-25,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.783138222439726,0
260882,0.0,117955.20000000006,1980-02-15,18,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,1,1-5,English,3,0,39,sale_1319.313_to_155862.72,30-40,16-20,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.7413204932530688,0
268173,0.0,127709.86666666668,1991-04-01,8,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,1,6-10,English,8,0,28,sale_1319.313_to_155862.72,21-30,6-10,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.8503164979922291,0
274058,0.0,452872.34666666656,1989-09-01,11,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,1,11-50,English,25,0,30,sale_303035.2_to_517717.2,21-30,11-15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.8269120389537854,0
275416,178.47619047619045,517224.0,1971-05-15,21,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,1,6-10,English,8,1,48,sale_303035.2_to_517717.2,40-50,21-25,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.2027167011293617,1
284729,0.0,350056.0000000001,1991-05-15,15,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,1,1-5,English,3,0,28,sale_303035.2_to_517717.2,21-30,11-15,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.8269120389537854,0
285962,0.0,29864.761904761905,1984-07-15,4,0.0,0.0,0.0,NOTICE,WEB,0,0,0,0,0,0,1,0,1,6-10,English,8,0,35,sale_1319.313_to_155862.72,30-40,0-5,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.8845784858304365,0
290624,0.0,390473.1428571429,1989-12-01,15,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,1,6-10,English,8,0,30,sale_303035.2_to_517717.2,21-30,11-15,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.8269120389537854,0
292424,0.0,286829.33333333326,1990-01-15,1,1.0,1.0,1.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,0,NONE,NONE,8,0,29,sale_155862.72_to_303035.2,21-30,0-5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.870662237660613,0
299477,304.0800000000001,485007.6000000001,1972-12-15,11,1.0,1.0,1.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,1,1-5,English,3,1,47,sale_303035.2_to_517717.2,40-50,11-15,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.2340024109325275,1
301458,323.3706666666667,548113.28,2014-12-18,15,0.0,0.0,0.0,AUTO RENEW,MAIL,0,0,0,0,0,0,0,0,1,11-50,English,25,1,5,sale_517717.26_to_929078.857,0-10,11-15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.7881842284294,0
315239,211.25866666666667,71827.94666666668,1959-06-01,17,0.0,1.0,0.0,AUTO RENEW,AUTO RENEW,0,0,0,0,0,0,0,0,1,1-5,English,3,1,60,sale_1319.313_to_155862.72,50+,16-20,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0942967004008789,1
316370,0.0,112012.5,1988-09-15,3,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,0,6-10,English,8,0,31,sale_1319.313_to_155862.72,30-40,0-5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.8480503688941046,0
322630,0.0,178257.19999999995,1992-09-01,10,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,1,1-5,English,3,0,27,sale_155862.72_to_303035.2,21-30,6-10,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.866489227494801,0
323468,201.69523809523807,298508.95238095237,1970-12-15,20,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,1,6-10,English,8,1,49,sale_155862.72_to_303035.2,40-50,16-20,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.1810178024043072,1
330469,0.0,948106.9714285716,1992-05-01,22,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,1,0,0,0,0,1,6-10,English,8,0,27,sale_929078.857_to_34412125.8,21-30,21-25,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.711130719874846,0
331032,0.0,953837.7333333336,1990-11-01,14,0.0,1.0,0.0,AUTO RENEW,AUTO RENEW,0,0,0,0,0,0,0,0,1,6-10,English,8,0,29,sale_929078.857_to_34412125.8,21-30,11-15,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.855608977412523,0
332697,131.86666666666665,346545.59999999986,1967-09-01,18,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,1,1-5,English,3,1,52,sale_303035.2_to_517717.2,50+,16-20,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.14688104216102682,1
342310,0.0,105257.6,1990-04-15,16,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,0,11-50,NONE,25,0,29,sale_1319.313_to_155862.72,21-30,16-20,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.6610161573737403,0
355155,0.0,2958857.0,1990-01-01,11,0.0,1.0,0.0,NOTICE,BRANCH (PHONE),0,0,0,0,0,0,0,0,0,NONE,NONE,8,0,29,sale_929078.857_to_34412125.8,21-30,11-15,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.7987709274869945,0
356828,0.0,71875.04761904763,1991-03-01,4,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,1,6-10,English,8,0,28,sale_1319.313_to_155862.72,21-30,0-5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.9014034017021706,0
357850,0.0,34663.571428571435,1990-07-01,1,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,0,6-10,NONE,8,0,29,sale_1319.313_to_155862.72,21-30,0-5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.8549103599479101,0
363119,0.0,312152.9904761905,1986-09-15,19,0.0,0.0,0.0,NOTICE,PHONE,0,0,0,0,0,0,0,0,1,6-10,English,8,0,33,sale_303035.2_to_517717.2,30-40,16-20,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.792538406244697,0
363574,0.0,173610.80000000002,1988-03-15,15,0.0,1.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,1,1-5,English,3,0,31,sale_155862.72_to_303035.2,30-40,11-15,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.7996646175106025,0
367083,0.0,334889.2,1973-09-15,15,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,1,11-50,Hindi,25,0,46,sale_303035.2_to_517717.2,40-50,11-15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.2340024109325275,1
372749,3185.0,1608425.0,1980-01-01,25,0.0,0.0,0.0,AUTO RENEW,AUTO RENEW,0,1,0,0,0,0,0,0,0,NONE,NONE,8,1,39,sale_929078.857_to_34412125.8,30-40,21-25,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.7334561832149132,0
378020,0.0,25003.33333333333,1987-02-15,1,1.0,1.0,1.0,NOTICE,MAIL,0,0,0,0,0,0,1,0,0,NONE,NONE,8,0,32,sale_1319.313_to_155862.72,30-40,0-5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.8480503688941046,0
378335,0.0,62758.66666666666,1992-10-01,1,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,0,NONE,NONE,8,0,27,sale_1319.313_to_155862.72,21-30,0-5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.8549103599479101,0
382582,89.68,30670.56,1971-08-01,19,0.0,0.0,0.0,NOTICE,NONE,0,0,0,0,0,0,0,0,1,1-5,English,3,1,48,sale_1319.313_to_155862.72,40-50,16-20,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.18300592613952005,1
390302,1299.25,3383247.0,1994-04-01,21,0.0,0.0,0.0,NOTICE,WEB,1,1,1,1,1,1,1,0,0,101-500,English,300,1,25,sale_929078.857_to_34412125.8,21-30,21-25,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.0338230349796379,1
398067,0.0,922924.8,1988-03-01,15,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,1,0,0,0,1,11-50,English,25,0,31,sale_517717.26_to_929078.857,30-40,11-15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.7188667080427904,0
399932,448.05333333333334,138448.48000000007,2001-04-09,3,0.0,0.0,0.0,NOTICE,WEB,0,0,0,0,0,0,0,0,1,1-5,English,3,1,18,sale_1319.313_to_155862.72,11-20,0-5,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.8786758235412764,0
400461,283.11904761904765,143824.47619047618,1993-11-01,4,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,0,6-10,English,8,1,26,sale_1319.313_to_155862.72,21-30,0-5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.8549103599479101,0
402130,0.0,1779435.0,1988-10-01,7,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,0,NONE,NONE,8,0,31,sale_929078.857_to_34412125.8,30-40,6-10,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.8767427476879119,0
402456,0.0,1118455.0,1983-09-01,15,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,1,0,0,0,0,1,51-100,English,75,0,36,sale_929078.857_to_34412125.8,30-40,11-15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.7369510044479592,0
404852,125.77066666666668,168910.00533333333,1975-12-15,17,0.0,0.0,0.0,AUTO RENEW,AUTO RENEW,0,0,0,0,0,0,0,0,1,1-5,NONE,3,1,44,sale_155862.72_to_303035.2,40-50,16-20,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.14756481842382352,1
407095,195.59428571428575,404880.1714285715,1994-05-15,24,0.0,0.0,0.0,AUTO RENEW,AUTO RENEW,0,0,0,0,0,0,0,0,1,6-10,English,8,1,25,sale_303035.2_to_517717.2,21-30,21-25,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7569412964204667,0
408612,0.0,70817.24,1983-11-01,30,0.0,0.0,0.0,AUTO RENEW,WEB,0,0,0,0,0,0,0,0,1,1-5,English,3,0,36,sale_1319.313_to_155862.72,30-40,25+,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.4725796259616454,1
413883,2047.15,380769.9,2009-11-09,6,1.0,0.0,1.0,NOTICE,BRANCH (POS),0,0,0,0,0,0,0,0,0,NONE,NONE,8,1,10,sale_303035.2_to_517717.2,0-10,6-10,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.791670144475195,0
420762,357.6571428571428,572966.7428571428,1994-07-15,18,0.0,0.0,0.0,NOTICE,WEB,0,0,0,0,0,0,0,0,1,6-10,English,8,1,25,sale_517717.26_to_929078.857,21-30,16-20,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.8062295621356952,0
427079,0.0,173556.24000000005,1989-12-15,18,0.0,0.0,0.0,AUTO RENEW,WEB,0,0,0,0,0,0,0,0,1,6-10,English,8,0,30,sale_155862.72_to_303035.2,21-30,16-20,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.6862053548909584,0
435680,179.58095238095237,20831.390476190478,1994-02-15,4,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,1,6-10,English,8,1,25,sale_1319.313_to_155862.72,21-30,0-5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.9014034017021706,0
456530,375.8114285714285,876016.44,1994-08-01,21,0.0,0.0,0.0,AUTO RENEW,AUTO RENEW,0,0,0,0,0,0,0,0,1,6-10,English,8,1,25,sale_517717.26_to_929078.857,21-30,21-25,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7888645546608279,0
456634,2411.833333333333,270125.3333333334,2014-05-04,22,0.0,1.0,0.0,NOTICE,NONE,0,0,0,0,0,0,0,0,0,NONE,NONE,8,1,5,sale_155862.72_to_303035.2,0-10,21-25,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.7038852770100784,0
457645,170.47619047619048,26253.333333333336,1970-07-01,14,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,1,6-10,English,8,1,49,sale_1319.313_to_155862.72,40-50,11-15,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.1908534000079828,1
463477,0.0,1520057.7600000002,1978-08-15,30,0.0,0.0,0.0,AUTO RENEW,WEB,0,0,0,0,0,0,1,0,1,11-50,English,25,0,41,sale_929078.857_to_34412125.8,40-50,25+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.11037619915857533,1
465038,0.0,344148.48,1977-08-15,18,0.0,0.0,0.0,NOTICE,WEB,0,0,0,0,0,0,0,0,1,1-5,English,3,0,42,sale_303035.2_to_517717.2,40-50,16-20,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.18150802401478583,1
469927,0.0,289807.54285714286,1983-07-15,12,0.0,0.0,0.0,NOTICE,WEB,0,0,0,0,0,0,0,0,1,6-10,English,8,0,36,sale_155862.72_to_303035.2,30-40,11-15,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.7793801454811353,0
473854,409.7600000000001,86049.6,1975-04-15,21,0.0,0.0,0.0,NOTICE,WEB,0,0,0,0,0,0,0,0,1,11-50,English,25,1,44,sale_1319.313_to_155862.72,40-50,21-25,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.14802584984356726,1
475838,0.0,24411.333333333336,1989-05-01,5,0.0,0.0,0.0,NOTICE,WEB,0,0,0,0,0,0,0,0,1,101-500,NONE,300,0,30,sale_1319.313_to_155862.72,21-30,0-5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.8663296509100886,0
479595,0.0,95870.0,1995-06-01,6,0.0,0.0,0.0,NOTICE,BRANCH (PHONE),1,0,0,0,0,0,0,0,0,11-50,English,25,0,24,sale_1319.313_to_155862.72,21-30,6-10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.7382298503266138,0
481829,0.0,130069.33333333336,1987-07-01,20,0.0,0.0,0.0,AUTO RENEW,AUTO RENEW,0,0,0,0,0,0,0,0,1,6-10,English,8,0,32,sale_1319.313_to_155862.72,30-40,16-20,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.6917856123845612,0
